path,symbol,component,role,parameters,returns,caller,callee,split,side_effects,threshold_config_inputs,artifact_outputs,tests,frozen_execution_use
src/paperworks/v6/relation_profiling_protocol_v1.py,rank_direction_horizon_v1,RELATION_PROFILING,Choose one response sign and horizon,records,record-or-none,evaluate_arm_blind_fit_v1,strict deterministic sorting,train1+train2,none,"per-file selected>opposite; ranking order",none,tests/test_task039d1_fit_engine.py,yes
src/paperworks/v6/relation_profiling_protocol_v1.py,selected_fit_gate_v1,RELATION_PROFILING,Gate only selected relation candidate,selected,bool,evaluate_arm_blind_fit_v1,fit_support_gate_v1,train1+train2,none,"20/5/5; 0.70/0.60/0.60; effect 2.0",directional fit status,tests/test_task039d1_fit_engine.py,yes
src/paperworks/profiling/task039d1_fit_v1.py,evaluate_arm_blind_fit_v1,RELATION_PROFILING,Orchestrate all 47 pairs arm-blind,"identity view,fit values,file bindings",ledgers and result,run_task039d1_fit_profiling,profiling helpers,train1+train2,builds private ledgers and sanitized results,frozen D0 protocol,fit ledgers and report,tests/test_task039d1_final_audit_results.py,yes
src/paperworks/profiling/task039d2_real_execution_v1.py,load_d1_private_inputs_v1,RELATION_PROFILING,Load exactly 45 frozen fit-supported inputs,D1 private ledgers,tuple relations,run confirmation,validators,no feature split,private reads only,exact ledger hashes,confirmable relation objects,tests/test_task039d2_real_engine.py,yes
src/paperworks/profiling/task039d2_real_execution_v1.py,confirm_relations_one_way_v1,RELATION_PROFILING,Confirm fixed relations without search,"relations,train3 values,bindings",45 confirmation records,run confirmation,event and response helpers,train3,private ledger write,"5; 0.60; effect 1.0; no retuning",confirmation ledger,tests/test_task039d2_no_retuning.py,yes
src/paperworks/v6/relation_profiling_protocol_v1.py,train3_confirmation_gate_v1,RELATION_PROFILING,Apply exact train3 conjunction,confirmation statistics,bool,confirm_relations_one_way_v1,calibration_confirmation_gate_v1,train3,none,"support 5; selected>opposite; 0.60; effect 1.0",status,tests/test_task039d2_real_engine.py,yes
src/paperworks/v6/task039e1_evidence_materialization_v1.py,materialize_construction_evidence_v1,NUMERIC_AUTHORITY,Bind confirmed identities to 11 construction references,"E0 cohort,D1/D2 ledgers",42 evidence records and manifest,E1 script,strict validators,no HAI reread,private ledger write,NUMERIC_ROLE_ORDER,E1 manifest and private ledger,tests/test_task039e1_evidence_materialization.py,yes
src/paperworks/v6/task039e0_rule_construction_prep_v1.py,ApprovedNumericEvidenceBundleV1.assert_matches,NUMERIC_AUTHORITY,Enforce relation-reference equality,relation,none,construction request builder,dataclass validation,not applicable,none,exact relation and reference hashes,fail-closed exception,tests/test_task039e0_rule_construction_prep.py,yes
src/paperworks/v6/task039e3_r2r_utility_normal_only_authority_v1.py,build_common42_authority_v1,NUMERIC_AUTHORITY,Derive exact public 42-by-10 runtime binding set,"executable equivalence,E1 manifest",authority definition,V4 builder,strict public binding validators,no data read,none,42 relations and 10 roles,authority object,tests/test_task039e3_r2r_utility_normal_only_authority_v1.py,yes
src/paperworks/v6/task039e3_r2r_utility_normal_only_authority_v1.py,calibrate_all_role_values_v1,NUMERIC_AUTHORITY,Materialize new normal-only runtime values,"authority,train1,train2",relation-role values,authorized materializer,profiling derivation helpers,train1+train2,private computation,10 utility roles,private 420-record registry,tests/test_task039e3_r2r_utility_normal_only_authority_v1.py,yes
src/paperworks/v6/task039e3_r2r_utility_normal_only_authority_v1.py,validate_private_registry_document_v1,NUMERIC_AUTHORITY,Validate exact registry closure and provenance,"document,authority",registry hash,D1 execution,strict record/key/hash checks,private registry,none,42x10 exact key set,fail-closed exception,tests/test_task039e3_r2r_utility_normal_only_authority_v1.py,yes
src/paperworks/v6/task039e3_r2r_utility_protocol_v4.py,build_utility_protocol_v4_canonical_authority,NUMERIC_AUTHORITY,Bind COMMON-42 and materialized runtime authority,frozen public artifacts,V4 authority,D1 execution,authority validators,no data read,none,exact frozen identities,V4 authority hash,tests/test_task039e3_r2r_utility_protocol_v4.py,yes
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,_load_real_numeric_resolver_v1,NUMERIC_AUTHORITY,Load and validate runtime values before feature execution,"bundle,private documents",resolver,D1 real entrypoint,authority validators,private numeric registry,private read,exact V4 and registry bindings,in-memory resolver,tests/test_task039e3_r2r_utility_inner_d1_execution_v1.py,yes

