artifact_id,name,role,source_ref,source_commit,producer,consumer,public_private,frozen,audited,current,superseded,safe_path
ART-EXP01-RESULT,EXP-01 frozen result,Normal-only corrected-versus-frozen GDN contribution result and META_PLUS_STAT decision,validation-v2-core-exp02,9cb47e0efb868048d4a523ec4cfaca53bd342ab7,GDN_DISCOVERY,CANDIDATE_UNION,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/reports/EXP01_RESULT_DISPOSITION_V2.md
ART-V2A-CANDIDATE,V2A META+STAT candidate authority,Self-hashed 29-pair META+STAT candidate union authority,validation-v2-core-exp02,9cb47e0efb868048d4a523ec4cfaca53bd342ab7,CANDIDATE_UNION,RELATION_PROFILING,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/core_v2a/authorities/VALIDATION_V2_META_STAT_CANDIDATE_UNION_AUTHORITY_V1.json
ART-V2A-COHORT,V2A confirmed directional cohort,Self-hashed 39-directional-relation normal-confirmed V2A cohort,validation-v2-core-exp02,9cb47e0efb868048d4a523ec4cfaca53bd342ab7,RELATION_PROFILING,NUMERIC_AUTHORITY,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/core_v2a/authorities/V2A_CONFIRMED_COHORT_AUTHORITY.json
ART-EXP02-RESULT,EXP-02 normal-only result,Frozen 37-candidate normal selection result,validation-v2-core-exp02,9cb47e0efb868048d4a523ec4cfaca53bd342ab7,NUMERIC_AUTHORITY,RULE_RUNTIME,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/core_v2a/results/EXP02_RESULTS_V2A.json
ART-EXP02-POLICY,EXP-02 selected policy authority,Atomically persisted selected numeric policy authority,validation-v2-core-exp02,9cb47e0efb868048d4a523ec4cfaca53bd342ab7,NUMERIC_AUTHORITY,RULE_RUNTIME,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/core_v2a/authorities/EXP02_SELECTED_POLICY_AUTHORITY_V2A.json
ART-V2A-PORTFOLIO,V2A Formal V4 portfolio,Frozen 39-rule META+STAT Formal V4 portfolio authority,validation-v2-core-exp02,9cb47e0efb868048d4a523ec4cfaca53bd342ab7,NUMERIC_AUTHORITY,RULE_RUNTIME,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/core_v2a/authorities/V2A_FORMAL_V4_PORTFOLIO_AUTHORITY.json
ART-EXP01B-RESULT,EXP-01B GDN-XAI result,Normal-only nine-run CUDA GDN-XAI frozen disposition,validation-v2-exp01b-gdn-xai,9e2aad7ded63238f6300f282d0841671c7c14ce0,GDN_DISCOVERY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/exp01b_gdn_xai/results/EXP01B_DISPOSITION.json
ART-EXP01B-LINEAGE,EXP-01B public lineage freeze,Checkpoint reference arm-ranking stability matched-control and receipt closure,validation-v2-exp01b-gdn-xai,e0a14ab61762f7e7ce8319d58643dc483dda6a02,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/exp01b_gdn_xai/results/EXP01B_PUBLIC_RESULT_FREEZE_V2.json
ART-EXP01B-REPORT,EXP-01B report,Korean normal-only GDN-XAI result and claim-boundary report,validation-v2-exp01b-gdn-xai,e0a14ab61762f7e7ce8319d58643dc483dda6a02,RCC,PROFESSOR_REPORTING,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/exp01b_gdn_xai/reports/EXP01B_REPORT.md
ART-FRONT-EXP04,V2 5개 방법 개발 결과,V2 별도 실행·설명·보존 authority;최종 과학 검증 아님,validation-v2-gdn-front-exp04-001,94ae44dac900cce75ed83ee2801be38750afed4a,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/gdn_front_exp04_001/results/EXP04_RESULTS_V1.json
ART-FRONT-EXP05,실제6418 trace full census,V2 별도 실행·설명·보존 authority;최종 과학 검증 아님,validation-v2-gdn-front-exp04-001,94ae44dac900cce75ed83ee2801be38750afed4a,EXPLANATION_RENDERER,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/gdn_front_exp04_001/results/EXP05_FULL_CENSUS_V1.json
ART-FRONT-QA,독립 result integrity,V2 별도 실행·설명·보존 authority;최종 과학 검증 아님,validation-v2-gdn-front-exp04-001,94ae44dac900cce75ed83ee2801be38750afed4a,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/gdn_front_exp04_001/reports/INDEPENDENT_QA_V1.json
ART-GDN-RULE-SIDECAR,GDN supporting explanation sidecar,V2 별도 실행·설명·보존 authority;최종 과학 검증 아님,validation-v2-gdn-front-exp04-001,94ae44dac900cce75ed83ee2801be38750afed4a,GDN_DISCOVERY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/gdn_rule_evidence/GDN_LEARNED_GRAPH_EVIDENCE_SIDECAR_V1.json
ART-FRONT-CUSTODY,private122artifact public-safe index,V2 별도 실행·설명·보존 authority;최종 과학 검증 아님,validation-v2-gdn-front-exp04-001,94ae44dac900cce75ed83ee2801be38750afed4a,REPRODUCIBILITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/local_custody/PUBLIC_PRIVATE_ARTIFACT_INDEX_FINAL_V2.json
ART-EVAL-EXPANSION,Multi-version HAI evaluation expansion authority,Public-safe panel compatibility metric gate and no-pooling preparation; no attack result,validation-v2-eval-expansion-001,d1489b67618b1e307a31a15ccb27d6dad57795c4,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/evaluation_expansion/EVALUATION_EXPANSION_AUTHORITY_V1.json
ART-EXP03-LIVE-RESULT,EXP-03 고정 snapshot 비교,Public aggregate construction results,validation-v2-exp03-provider-exec-001,9e0c669d5efa03afcd13342fa1fc3dbc8ba8f3f4,T2_AGENTIC_FEEDBACK,RESULT_INTEGRITY,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/exp03/execution_v1/EXP03_NATURAL_RESULTS_V1.json
ART-EXP03B-PREP,EXP-03B 의미적 induction 실행 결과 및 QA,Provider 승인 전 정상-only preparation,codex/exp03b-provider-exec-001,811d5817bed1484bb3d0c36704bd74f224f4c526,T2_AGENTIC_FEEDBACK,RESULT_INTEGRITY,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/exp03b/execution_v2/EXP03B_REVISED_RESULTS_V1.json
ART-DG04-LOCK,FINAL_METHOD_LOCK_V1.json,Prospective method or explicitly scoped preparation record,validation-v2-dg04-xver-prep-001,f7ce07955e56ce0140b30faea201e7f8ac11f8a3,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg04_xver_prep/FINAL_METHOD_LOCK_V1.json
ART-DG04-T0,T0_HELDOUT_CANDIDATE_PORTFOLIO_V1.json,Prospective method or explicitly scoped preparation record,validation-v2-dg04-xver-prep-001,f7ce07955e56ce0140b30faea201e7f8ac11f8a3,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg04_xver_prep/T0_HELDOUT_CANDIDATE_PORTFOLIO_V1.json
ART-DG04-T2,T2_HELDOUT_CANDIDATE_PORTFOLIO_V1.json,Prospective method or explicitly scoped preparation record,validation-v2-dg04-xver-prep-001,f7ce07955e56ce0140b30faea201e7f8ac11f8a3,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg04_xver_prep/T2_HELDOUT_CANDIDATE_PORTFOLIO_V1.json
ART-XVER-MAPPING,P1_FEATURE_MAPPING_AUTHORITY_V1.json,Prospective method or explicitly scoped preparation record,validation-v2-dg04-xver-prep-001,f7ce07955e56ce0140b30faea201e7f8ac11f8a3,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg04_xver_prep/P1_FEATURE_MAPPING_AUTHORITY_V1.json
ART-XVER-CUSTODY-STOP,XVER_NORMAL_CUSTODY_BLOCKER_V1.json,Prospective method or explicitly scoped preparation record,validation-v2-dg04-xver-prep-001,f7ce07955e56ce0140b30faea201e7f8ac11f8a3,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg04_xver_prep/XVER_NORMAL_CUSTODY_BLOCKER_V1.json
ART-ETAPR-CONFORMANCE,ETAPR_CONFORMANCE_RECEIPT_V2.json,Prospective method or explicitly scoped preparation record,validation-v2-dg04-xver-prep-001,f7ce07955e56ce0140b30faea201e7f8ac11f8a3,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg04_xver_prep/ETAPR_CONFORMANCE_RECEIPT_V2.json
ART-XVER-RESUME,STAGE_B_RESUME_STATUS_V2.json,Normal projection mapping and candidate authority bundle,validation-v2-dg04-xver-prep-001,7d3178b9664e3cfa8c0a930dd00bb874723016b7,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg04_xver_prep/STAGE_B_RESUME_STATUS_V2.json
ART-XVER-GDN-CONTEXT,GDN_CANONICAL_CONTEXT_AUTHORITY_V1.json,Exact context mapping and scoped synthetic preflight; scientific evidence unresolved,validation-v2-hai-xver-normal-prep-001,ef993009dab13b59c8bdcb94a9825a27b8a8ea8c,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/xver_normal/GDN_CANONICAL_CONTEXT_AUTHORITY_V1.json
ART-XVER-GDN-SEPARATED-ROLES,GDN_SEPARATED_EVIDENCE_BINDING_V1.json,User-approved global-only provider GDN and isolated auxiliary event evidence,validation-v2-hai-xver-normal-prep-001,a207dceecd1903705af904624e8e7289c9f4b036,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/xver_normal/GDN_SEPARATED_EVIDENCE_BINDING_V1.json
ART-XVER-NORMAL-EXECUTION,NORMAL_EXECUTION_RESULT_V1.json,"External normal-only GDN evidence, deterministic T0 and T2 provider preparation",validation-v2-hai-xver-normal-prep-001,449e263ef12010163a4b8718f7182c9d9cd18b8c,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/xver_normal/NORMAL_EXECUTION_RESULT_V1.json
ART-XVER-T2-EXECUTION,XVER_T2_PROVIDER_EXECUTION_RESULT_V1.json,External normal-only T2 provider execution and heldout-candidate portfolio authority,validation-v2-xver-t2-provider-exec-001,9e455938a21606053118eb52215cd9d5741d708b,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/xver_normal/provider_execution_v1/XVER_T2_PROVIDER_EXECUTION_RESULT_V1.json
ART-XVER-T2-INDEPENDENT-QA,XVER_T2_INDEPENDENT_QA_V1.md,Independent read-only final QA for external normal-only T2 execution,validation-v2-xver-t2-provider-exec-001,9e455938a21606053118eb52215cd9d5741d708b,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/xver_normal/provider_execution_v1/XVER_T2_INDEPENDENT_QA_V1.md
ART-MULTIPANEL-DETECTORS,DETECTOR_EXECUTION_RESULT_V1.json,Normal-only external PCA and secondary IF frozen authorities,validation-v2-multipanel-pre-dg05-freeze-001,bc09470d71d6eb84656d87b32c3d87803a8f8199,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/DETECTOR_EXECUTION_RESULT_V1.json
ART-MULTIPANEL-METHODS,MULTIPANEL_METHOD_BUNDLE_AUTHORITY_V1.json,Exact five-primary and version-specific secondary method bundle,validation-v2-multipanel-pre-dg05-freeze-001,9c4880608883dd2c6881dfb1ae4dade5d2f95563,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/MULTIPANEL_METHOD_BUNDLE_AUTHORITY_V1.json
ART-MULTIPANEL-METRICS,MULTIPANEL_METRIC_AUTHORITY_V1.json,Historical initial metric authority superseded by exact-identity V2,validation-v2-multipanel-pre-dg05-freeze-001,bc09470d71d6eb84656d87b32c3d87803a8f8199,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,false,true,research_control_center/validation_v2/multipanel_pre_dg05/MULTIPANEL_METRIC_AUTHORITY_V1.json
ART-MULTIPANEL-CUSTODY,GLOBAL_PREDICTION_CUSTODY_AUTHORITY_V1.json,Historical in-memory custody authority superseded by durable V2,validation-v2-multipanel-pre-dg05-freeze-001,bc09470d71d6eb84656d87b32c3d87803a8f8199,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,false,true,research_control_center/validation_v2/multipanel_pre_dg05/GLOBAL_PREDICTION_CUSTODY_AUTHORITY_V1.json
ART-DG05-BRIEF,DG05_MULTI_PANEL_ATTACK_ACCESS_BRIEF_V1.md,Conditional all-panel feature and post-freeze label lease decision brief,validation-v2-multipanel-pre-dg05-freeze-001,9c4880608883dd2c6881dfb1ae4dade5d2f95563,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/DG05_MULTI_PANEL_ATTACK_ACCESS_BRIEF_V1.md
ART-MULTIPANEL-PRIVATE-INDEX,PUBLIC_PRIVATE_MULTIPANEL_INDEX_V1.json,Historical pre-binding public-safe detector custody index,validation-v2-multipanel-pre-dg05-freeze-001,bc09470d71d6eb84656d87b32c3d87803a8f8199,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,false,true,research_control_center/validation_v2/multipanel_pre_dg05/PUBLIC_PRIVATE_MULTIPANEL_INDEX_V1.json
ART-HAI23-DETECTOR-PRIVATE-BINDING,HAI23_DETECTOR_PRIVATE_HASH_BINDING_V1.json,Path-free exact HAI23 PCA and IF model fit and threshold custody binding,validation-v2-multipanel-pre-dg05-freeze-001,9c4880608883dd2c6881dfb1ae4dade5d2f95563,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/HAI23_DETECTOR_PRIVATE_HASH_BINDING_V1.json
ART-MULTIPANEL-PRIVATE-INDEX-V2,PUBLIC_PRIVATE_MULTIPANEL_INDEX_V2.json,Historical public-safe V2 index preserved in append-only custody chain,validation-v2-multipanel-pre-dg05-freeze-001,9c4880608883dd2c6881dfb1ae4dade5d2f95563,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,false,true,research_control_center/validation_v2/multipanel_pre_dg05/PUBLIC_PRIVATE_MULTIPANEL_INDEX_V2.json
ART-MULTIPANEL-METRICS-V2,MULTIPANEL_METRIC_AUTHORITY_V2.json,Exact official-scenario identity paired alignment per-file eTaPR and executable no-pooling authority,validation-v2-multipanel-pre-dg05-freeze-001,e8ad3a141eb204415079e7415f69167a8d30dbae,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/MULTIPANEL_METRIC_AUTHORITY_V2.json
ART-MULTIPANEL-P1-V2,P1_ELIGIBILITY_CUSTODIAN_AUTHORITY_V2.json,Official-source and canonical mapping hash bound outcome-blind P1 custodian,validation-v2-multipanel-pre-dg05-freeze-001,e8ad3a141eb204415079e7415f69167a8d30dbae,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/P1_ELIGIBILITY_CUSTODIAN_AUTHORITY_V2.json
ART-MULTIPANEL-CUSTODY-V2,GLOBAL_PREDICTION_CUSTODY_AUTHORITY_V2.json,Durable exact-authority prediction-before-label chain with exact projection prediction and result byte replay,validation-v2-multipanel-pre-dg05-freeze-001,e8ad3a141eb204415079e7415f69167a8d30dbae,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/GLOBAL_PREDICTION_CUSTODY_AUTHORITY_V2.json
ART-MULTIPANEL-PREREG-V2,MULTIPANEL_PREREGISTRATION_V2.json,Hardened pre-DG05 preregistration binding current V2 metrics eligibility and custody,validation-v2-multipanel-pre-dg05-freeze-001,e8ad3a141eb204415079e7415f69167a8d30dbae,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/MULTIPANEL_PREREGISTRATION_V2.json
ART-MULTIPANEL-PRIVATE-INDEX-V3,PUBLIC_PRIVATE_MULTIPANEL_INDEX_V3.json,Historical public-safe V3 index preserved in append-only custody chain,validation-v2-multipanel-pre-dg05-freeze-001,dd646863836ac354fb7b0e9d9ef03d9cf0a6e4ca,REPRODUCIBILITY,RCC,PUBLIC_SAFE,true,true,false,true,research_control_center/validation_v2/multipanel_pre_dg05/PUBLIC_PRIVATE_MULTIPANEL_INDEX_V3.json
ART-MULTIPANEL-ALLOWLISTS,ATTACK_FEATURE_ALLOWLIST_AUTHORITIES_V1.json,Exact detector-complete panel timestamp and positive feature allowlists frozen before DG05,validation-v2-multipanel-pre-dg05-freeze-001,e8ad3a141eb204415079e7415f69167a8d30dbae,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/ATTACK_FEATURE_ALLOWLIST_AUTHORITIES_V1.json
ART-MULTIPANEL-FILE-CENSUS,ATTACK_FILE_CENSUS_AUTHORITIES_V1.json,Exact public official physical attack-file identity census without payload access,validation-v2-multipanel-pre-dg05-freeze-001,fe4f42c4d40000ab369b5de0e5b0f5e748020dab,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/ATTACK_FILE_CENSUS_AUTHORITIES_V1.json
ART-MULTIPANEL-P1-MAPPINGS,P1_MAPPING_AUTHORITIES_V1.json,Exact method-blind per-version P1 feature mapping authorities,validation-v2-multipanel-pre-dg05-freeze-001,e8ad3a141eb204415079e7415f69167a8d30dbae,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/P1_MAPPING_AUTHORITIES_V1.json
