path,symbol,component,role,parameters,returns,caller,callee,LLM_call_possible,artifact_io,authority_dependency,error_behavior,tests,frozen_execution_use
src/paperworks/v6/task039e3_orchestration_v1.py,run_t1_v1,T1_ONE_SHOT,one-shot construction,index/evidence/transport/ledgers,outcome,scientific executor,slot parser and validity,true,provider/proposal/outcome ledgers,E2 schedule,no_rule on response or rejection,tests/test_task039e3_main_arms.py,true
src/paperworks/v6/task039e3_orchestration_v1.py,run_t1b_v1,T1B_REPEAT,three stateless draws,index/evidence/transport/ledgers,outcome,scientific executor,slot parser validity selection,true,provider/proposal/outcome ledgers,E0 budget and selection,no_rule if none admissible,tests/test_task039e3_main_arms.py,true
src/paperworks/v6/task039e0_rule_construction_protocol_v1.py,T1BSelectionPolicyV1.select,T1B_REPEAT,select earliest admissible,three booleans,index or null,run_t1b_v1,none,false,in memory,frozen budget,fail on non-three inputs,tests/test_task039e0_rule_construction_protocol.py,true
src/paperworks/v6/task039e3_orchestration_v1.py,run_t2_v1,T2_AGENTIC_FEEDBACK,bounded feedback orchestration,index/evidence/transport/ledgers,outcome,scientific executor,controller/retrieval/follow-up,true,provider/proposal/outcome ledgers,E0 budget/controller,early no_rule or max-three,tests/test_task039e3_main_arms.py,true
src/paperworks/v6/task039e0_rule_construction_protocol_v1.py,T2DeterministicControllerPolicyV1.next_action,T2_AGENTIC_FEEDBACK,map validity issues,status/issues/calls/retrieval,accept/revise/retrieve/no_rule,run_t2_v1,issue-action map,false,in memory,E0 validity and budget,fail on unknown state,tests/test_task039e0_rule_construction_protocol.py,true
src/paperworks/v6/task039e3_orchestration_v1.py,retrieve_existing_evidence_v1,T2_AGENTIC_FEEDBACK,re-present approved same-corpus slice,view/requested IDs/count,bounded mapping,run_t2_v1,validate_retrieval_request_v1,false,in memory,E2 retrieval policy,fail closed,tests/test_task039e2_input_prompts_retrieval.py,false
src/paperworks/v6/task039e3_execution_prep_v1.py,build_t2_followup_request_v1,T2_AGENTIC_FEEDBACK,build bounded follow-up,view/issues/fields/hash/retrieval,FrozenProviderRequestV1,run_t2_v1,E2 renderer,false,in memory,E2 prompt and model policy,fail closed,tests/test_task039e3_t2_direct.py,false
src/paperworks/v6/task039e3_orchestration_v1.py,wrap_and_verify_core_v1,RULE_DSL,bind envelope projection and validity,core/evidence/arm/call/prompt,ConstructionProposalRecordV1,all arms,proposal projector and validity,false,private proposal ledger,E0/E1/E2 hashes,fail closed,tests/test_task039e3_main_arms.py,true
src/paperworks/v6/task039e3_orchestration_v1.py,aggregate_construction_metrics_v1,T0_T1_T1B_T2,aggregate construction outcomes,outcome records,arm metrics,scientific finalizer,pure counts,false,public metrics,metric policy,zero denominator safe,tests/test_task039e3_metrics_schedule_public.py,true
src/paperworks/v6/task039e3_scientific_execution_v1.py,run_authorized_scientific_execution_v1,T0_T1_T1B_T2,historical scientific executor,repository/E1/private transport/preflight,public and private result maps,authorized runner,all four arms,true,private ledgers and public reports,authorization and frozen sources,abort on mismatch,tests/test_task039e3_live_execution.py,true
src/paperworks/v6/task039e3_r2r_execution_v1.py,run_fresh_r2r_cohort_v1,T0_T1_T1B_T2,fresh R2R cohort coordinator,bootstrap/transport/ledgers,result bundle,R2R authorized runner,injected scientific cohort,true,private and public custody,R2R authorization,fail closed,tests/test_task039e3_r2r_execution_v1.py,true
