path,symbol,role,parameters,return_or_output,side_effects,caller,callee,split_assumptions,label_assumptions,error_behavior,test_coverage,frozen_execution_use
src/paperworks/v6/candidate_discovery_protocol_v1.py,eligible_pair_records_v1,Build directional pair universe,source and target identities,ordered pair records,None,protocol construction,lexicographic product,12 by 12 P1 roles,no labels,CandidateDiscoveryProtocolError,tests/test_candidate_universe.py,yes
src/paperworks/profiling/task039d1_fit_v1.py,load_authorized_fit_values_v1,Load exact relation-fit columns,repository root and private roots,train1 and train2 value maps,reads and hashes two normal files,D1 fit runner,_read_selected_columns,train1 and train2 only,label unavailable required,TASK039D1Error,tests/test_task039d1_fit_v1.py,yes relation fit
src/paperworks/profiling/task039d2_confirmation_v1.py,require_real_execution_authorization_v1,Validate one-way train3 grant,authorization and train3 path,permission or exception,None,confirmation runner,authorization field checks,train3 only,train4 test and labels prohibited,TASK039D2PreparationError,tests/test_task039d2_confirmation_v1.py,yes relation confirmation
src/paperworks/v6/task039e1_evidence_materialization_v1.py,materialize_from_ledgers_v1,Build construction evidence from frozen ledgers,confirmed cohort and private ledgers,private evidence records,None,E1 execution,_derive_numeric_bindings,no raw split reread,test labels prohibited,TASK039E1Error,tests/test_task039e1_evidence_materialization_v1.py,yes evidence pack
src/paperworks/v6/task039e3_r2r_utility_normal_only_authority_v1.py,load_verified_normal_features_v1,Read exact numeric-authority columns,train1 train2 paths and required features,two feature mappings,reads and rehashes normal files,authority materializer,_read_verified_feature_columns,train1 and train2 only,no labels and no train3 or train4,NormalOnlyAuthorityV1Error,tests/test_task039e3_r2r_utility_normal_only_authority_v1.py,yes runtime authority
src/paperworks/v6/task039e3_r2r_d0_detector_training_v1.py,_parse_normal_frame,Parse exact D0 normal frame,path and file identity,float64 matrix,reads one normal file,D0 training,csv and NumPy,exact 37-feature order and fixed rows,no label field,D0TrainingError,tests/test_task039e3_r2r_d0_detector_training_v1.py,yes
src/paperworks/v6/task039e3_r2r_d0_detector_training_v1.py,execute_d0_normal_training_and_calibration_v1,Run one normal-only fit calibration sanity sequence,no caller knobs,frozen private authorities and sanity receipt,reads train1 through train4 and writes private artifacts,authorized task,fit preprocessing PCA threshold and sanity,train1+2 fit train3 threshold train4 sanity,label and test access false,D0TrainingError,tests/test_task039e3_r2r_d0_detector_training_v1_independent.py,yes
src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py,_parse_test1_feature_frame_once_v1,Parse label-blind D0 test frame,execution token and path,RealD0FeatureFrameV1,reads test1 features once,D0 execution,csv and NumPy,INNER test1 only,no label field permitted,InnerD0ExecutionV1Error,tests/test_task039e3_r2r_d0_inner_execution_v1.py,yes D0
src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py,_persist_prediction_before_label_v1,Durably freeze D0 prediction,state and artifact,exact frozen bytes,writes public prediction and rereads it,D0 execution,_write_public_json_atomic_v1,test1 prediction only,label access remains forbidden until state transition,InnerD0ExecutionV1Error,tests/test_task039e3_r2r_d0_inner_execution_v1_independent.py,yes D0
src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py,_load_label_custody_once_v1,Open labels after durable prediction,state timestamps and label path,RealD0LabelEventCustodyV1,reads and hashes label-test1 once,D0 metric stage,state.require_label_access,test1 only,label allowed only at PREDICTION_FROZEN,InnerD0ExecutionV1Error,tests/test_task039e3_r2r_d0_result_integrity_v1.py,yes D0 metrics
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,build_scientific_rule_prediction_artifact_v1,Build label-blind D1 prediction object,token census and results,ScientificRulePredictionArtifactV1,registers immutable object custody,D1 execution,validate_scientific_rule_prediction_artifact_v1,test1 feature-derived decisions,no label input,InnerD1ExecutionV1Error,tests/test_task039e3_r2r_utility_inner_d1_execution_v1.py,yes D1
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,_load_real_label_custody_v1,Load labels after prediction object creation,token prediction timestamps and path,RealLabelEventCustodyV1,reads label-test1,D1 execution,validate prediction and parse labels,test1 only,label allowed after logical object freeze,InnerD1ExecutionV1Error,tests/test_task039e3_r2r_utility_inner_d1_result_integrity_v1.py,yes D1 metrics
src/paperworks/v6/task039e3_r2r_d2_inner_execution_v1.py,_persist_combined_prediction_before_label_v1,Durably freeze D2 V1 prediction,state and combined artifact,exact frozen bytes,writes and rereads public artifact,D2 execution,atomic writer,frozen D0 and D1 predictions only,label forbidden before combined freeze,D2InnerExecutionV1Error,tests/test_task039e3_r2r_d2_inner_execution_v1_independent.py,yes D2 V1
src/paperworks/v6/task039e3_r2r_d2_v2_inner_execution_v1.py,_persist_combined_before_label_v1,Durably freeze D2 V2 prediction,state and combined artifact,exact frozen bytes,writes and rereads public artifact,D2 V2 execution,atomic writer,frozen prediction inputs only,label forbidden before combined freeze,D2V2InnerExecutionV1Error,tests/test_task039e3_r2r_d2_v2_inner_execution_v1_independent.py,yes D2 V2
src/paperworks/v6/task039e3_r2r_outer_d0_d1_d2v1_execution_v1.py,execute_authorized_outer_v1,One-shot held-out three-arm controller,no caller knobs,OuterExecutionOutcomeV1,planned private test2 reads and public/private writes,explicit OUTER task,state machine and parsers,test2 only and zero retry,label permitted only after all predictions freeze,OuterExecutionError,tests/test_task039e3_r2r_outer_d0_d1_d2v1_execution_v1_independent.py,no blocked before bytes
