artifact_id,produced_by_component,produced_by_entrypoint,input_artifacts,output_role,consumed_by,source_commit,frozen,audited,private_public,safe_reference,verified
ART-D1-METRICS,D1_RULE_ONLY,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py::execute_authorized_inner_d1_v1,ART-D1-PREDICTION reloaded after freeze; authorized label custody after prediction freeze; private metric evidence,sanitized D1 INNER pilot metric summary,RESULT_INTEGRITY; pilot comparison; PROFESSOR_REPORTING,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_METRIC_SUMMARY,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D1_METRICS_V1.json,VERIFIED
ART-D1-INTEGRITY,RESULT_INTEGRITY,scripts/audit_task039e3_r2r_utility_inner_d1_result_integrity_v1.py::main,ART-D1-PREDICTION; ART-D1-METRICS; frozen result commits; authorized audit-only private oracle inputs,public independent D1 result-integrity receipt without a replacement execution,RCC; PROFESSOR_REPORTING; THESIS_DRAFT,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D1_RESULT_INTEGRITY_V1_RECEIPT.json,VERIFIED
ART-D2V1-DESIGN-SOURCE-MAP,GOVERNANCE_OR_EXTERNAL,src/paperworks/v6/task039e3_r2r_d2_execution_authorization_v1.py::authorization source-map builder,ART-D0-PREDICTION; ART-D1-PREDICTION; frozen D2 V1 design,public immutable D0/D1 input and distinct-source mapping for D2 V1,D2_V1; D2 V1 result-integrity audit,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_EXECUTION_AUTHORIZATION_V1_SOURCE_MAP.json,VERIFIED
ART-D2V1-PREDICTION,D2_V1,src/paperworks/v6/task039e3_r2r_d2_inner_execution_v1.py::execute_authorized_d2_inner_v1,ART-D0-PREDICTION; ART-D1-PREDICTION; ART-D2V1-DESIGN-SOURCE-MAP,public label-blind same-second D2 V1 combined prediction authority,D2 V1 metric stage; D2 V1 result-integrity audit; pilot comparison,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_LABEL_BLIND,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_COMBINED_PREDICTION_ARTIFACT_V1.json,VERIFIED
ART-D2V1-METRICS,D2_V1,src/paperworks/v6/task039e3_r2r_d2_inner_execution_v1.py::execute_authorized_d2_inner_v1 -> compute_metric_values_v1,ART-D2V1-PREDICTION reloaded after freeze; authorized label custody after prediction freeze; private metric evidence,sanitized D2 V1 INNER pilot metric summary,RESULT_INTEGRITY; pilot comparison; PROFESSOR_REPORTING,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_METRIC_SUMMARY,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_METRICS_V1.json,VERIFIED
ART-D2V1-INTEGRITY,RESULT_INTEGRITY,scripts/audit_task039e3_r2r_d2_result_integrity_v1.py::main,ART-D0-PREDICTION; ART-D1-PREDICTION; ART-D2V1-PREDICTION; ART-D2V1-METRICS,public independent D2 V1 result-integrity receipt,RCC; PROFESSOR_REPORTING; THESIS_DRAFT,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_RESULT_INTEGRITY_V1_RECEIPT.json,VERIFIED
ART-D2V2-DESIGN-AUTHORITY,GOVERNANCE_OR_EXTERNAL,src/paperworks/v6/task039e3_r2r_d2_v2_design_v1.py::frozen D2 V2 design builders,ART-D0-PREDICTION; ART-D1-PREDICTION; frozen native-horizon policy,"public preregistered V2 design, source-map, and native-horizon authority",D2_V2; D2 V2 result-integrity audit,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_V2_DESIGN_V1_BUNDLE.json,VERIFIED
ART-D2V2-PREDICTION,D2_V2,src/paperworks/v6/task039e3_r2r_d2_v2_inner_execution_v1.py::execute_authorized_d2_v2_inner_v1,ART-D0-PREDICTION; ART-D1-PREDICTION; ART-D2V2-DESIGN-AUTHORITY,public label-blind native-horizon D2 V2 combined prediction authority,D2 V2 metric stage; D2 V2 result-integrity audit; pilot comparison,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_LABEL_BLIND,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_V2_COMBINED_PREDICTION_ARTIFACT_V1.json,VERIFIED
ART-D2V2-METRICS,D2_V2,src/paperworks/v6/task039e3_r2r_d2_v2_inner_execution_v1.py::execute_authorized_d2_v2_inner_v1 -> compute_metric_values_v1,ART-D2V2-PREDICTION reloaded after freeze; authorized label custody after prediction freeze; private metric evidence,sanitized D2 V2 INNER pilot metric summary,RESULT_INTEGRITY; pilot comparison; PROFESSOR_REPORTING,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_METRIC_SUMMARY,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_V2_METRICS_V1.json,VERIFIED
ART-D2V2-INTEGRITY,RESULT_INTEGRITY,D2 V2 independent audit harness plus completion renderer,ART-D0-PREDICTION; ART-D1-PREDICTION; ART-D2V2-PREDICTION; ART-D2V2-METRICS; remediated audit receipts,public canonical D2 V2 result-integrity completion authority,RCC; PROFESSOR_REPORTING; THESIS_DRAFT,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_V2_RESULT_INTEGRITY_COMPLETION_V1.json,VERIFIED_WITH_REMEDIATION_CHAIN
ART-OUTER-BLOCKER,OUTER_EVALUATION,src/paperworks/v6/task039e3_r2r_outer_d0_d1_d2v1_execution_recovery_v1.py::RecoveryAttemptBoundaryV1,OUTER preregistration metadata; unresolved custody prerequisites,public fail-closed blocker/custody record; explicitly not an OUTER scientific result,RCC; REPRODUCIBILITY; future independently authorized OUTER design,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,false,PUBLIC_SAFE_BLOCKER,docs/task_reports/TASK-039E3_R2R_UTILITY_OUTER_D0_D1_D2V1_EXECUTION_RECOVERY_V1_BLOCKER.json,VERIFIED_NO_RESULT
ART-IMPLEMENTATION-AUDIT,RESULT_INTEGRITY,post-push checkpoint reporting workflow,pinned source tree; public execution/audit reports,public implementation completeness boundary assessment,RCC; PROFESSOR_REPORTING; THESIS_DRAFT,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_REPORT,docs/post_push_checkpoint_v1/08_IMPLEMENTATION_COMPLETENESS.md,VERIFIED
ART-REPRO-ASSESSMENT,REPRODUCIBILITY,post-push checkpoint reporting workflow,pins; environment receipts; public artifact lineage,public assessment that traceability is strong but fresh-machine reproduction is incomplete,RCC; future reproducibility work,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_REPORT,docs/post_push_checkpoint_v1/07_REPRODUCIBILITY_ASSESSMENT.md,VERIFIED
ART-CLAIM-AUDIT,RESULT_INTEGRITY,post-push checkpoint reporting workflow,public result/integrity reports; implementation completeness evidence,public claim-boundary assessment,RCC claims registry; THESIS_DRAFT; PROFESSOR_REPORTING,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_REPORT,docs/post_push_checkpoint_v1/09_CLAIM_AUDIT.md,VERIFIED
ART-PROFESSOR-RESULTS,PROFESSOR_REPORTING,professor submission reporting workflow,ART-CONSTRUCTION-ANALYSIS; D0/D1/D2 public pilot results; ART-CLAIM-AUDIT,public professor-facing synthesis of frozen pilot observations,THESIS_DRAFT; RCC,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_REPORT,docs/professor_submission_v1/03_FIRST_RESULTS_REPORT.md,VERIFIED
ART-THESIS-DRAFT,THESIS_DRAFT,documentation overlay authoring workflow,ART-PROFESSOR-RESULTS; ART-CLAIM-AUDIT; narrative context,provisional thesis narrative; never scientific authority,human review only,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,false,PUBLIC_SAFE_DOCUMENTATION_OVERLAY,docs/thesis_draft_v1/15_FULL_THESIS_WORKING_DRAFT.md,VERIFIED_OVERLAY_ONLY
