component_id,one_line_role,source_ref,representative_path,representative_symbol,implementation_status,used_in_frozen_result,audited,major_artifact,deep_review_target
RULE_DSL,"Defines the canonical typed Rule v1 contract",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/contracts/rule_v1.py,RuleV1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,"TASK-039E0 protocol bundle","schema invariants and delayed-response subset"
T0_TEMPLATE,"Deterministic template construction arm",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_orchestration_v1.py,run_t0_v1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039E3_R2R_RESULT_ANALYSIS_CONSTRUCTION.json,"deterministic numeric equivalence"
T1_ONE_SHOT,"Bounded one-shot provider-assisted construction arm",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_orchestration_v1.py,run_t1_v1,RESEARCH_ONLY,yes,yes,TASK-039E3_R2R_RESULT_ANALYSIS_CONSTRUCTION.json,"request schema and provider custody"
T1B_REPEAT,"Budget-matched independent-generation arm",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_orchestration_v1.py,run_t1b_v1,RESEARCH_ONLY,yes,yes,TASK-039E3_R2R_RESULT_ANALYSIS_T1B.json,"independence and selection policy"
T2_AGENTIC_FEEDBACK,"Bounded verifier-feedback construction arm",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_orchestration_v1.py,run_t2_v1,RESEARCH_ONLY,yes,yes,TASK-039E3_R2R_RESULT_ANALYSIS_T2.json,"feedback budget and revise/retrieve boundaries"
DETERMINISTIC_VERIFIER,"Enforces structural evidence parameter operation and claim checks",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/contracts/verifier_v1.py,RuleVerificationOutcomeV1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,"verifier result artifacts","stage ordering and fail-closed issues"
COMMON42_FREEZE,"Freezes the executable 42-rule utility portfolio",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_protocol_v4.py,build_common42_public_authority_v4,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039E3_R2R_UTILITY_COMMON42_AUTHORITY_CHECK.json,"source resolution and exact cardinality"
RULE_RUNTIME,"Executes verified rules without an LLM",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_evaluator_rule_engine_v1.py,execute_rule_v1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039E3_R2R_UTILITY_INNER_D1_RULE_PREDICTION_ARTIFACT_V1.json,"window semantics and abstention"
SATISFACTION_TRACE,"Records evaluated temporal predicates",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/contracts/runtime_v1.py,RuntimeTraceV1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,"D1 execution evidence","trace completeness and privacy"
EXPLANATION_RENDERER,"Renders trace-grounded non-causal explanations",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/contracts/explanation_v1.py,render_delayed_response_explanation,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,"professor explanation examples","claim boundary and human usefulness gap"
D0_PCA_SPE,"Reference normal-only PCA-SPE detector",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py,execute_authorized_d0_inner_v1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039E3_R2R_UTILITY_INNER_D0_DETECTOR_PREDICTION_ARTIFACT_V1.json,"private model and threshold bootstrap"
D1_RULE_ONLY,"COMMON-42 rule-only INNER evaluator",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,execute_authorized_inner_d1_v1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039E3_R2R_UTILITY_INNER_D1_RULE_PREDICTION_ARTIFACT_V1.json,"high FAR and source-event accounting"
D2_V1,"Same-second two-source detector/rule fusion",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_d2_inner_execution_v1.py,fuse_point_v1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039E3_R2R_UTILITY_INNER_D2_COMBINED_PREDICTION_ARTIFACT_V1.json,"D0 preservation and corroboration timing"
D2_V2,"Native-horizon evidence-token fusion",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_d2_v2_inner_execution_v1.py,fuse_native_horizon_timeline_v1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039E3_R2R_UTILITY_INNER_D2_V2_COMBINED_PREDICTION_ARTIFACT_V1.json,"causal horizon expiry and false-alarm expansion"
EPISODE_CONSTRUCTION,"Builds maximal contiguous alarm episodes",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,form_alarm_episodes_v1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,"D0/D1/D2 metric oracles","file locality and boundary semantics"
ATTACK_EVENT_RECALL,"Builds attack events and overlap recall",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,derive_attack_events_v1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,"metric and integrity-oracle artifacts","label ordering and overlap policy"
NORMAL_FAR,"Calculates normal false-alarm episodes per hour",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,BoundMetricV1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,"metric and integrity-oracle artifacts","exposure denominator and episode counts"
RESULT_INTEGRITY,"Audits frozen result and report contracts",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,scripts/remediate_task039e3_r2r_d2_v2_r5_report_render_r1.py,adapt_snapshot,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039E3_R2R_UTILITY_INNER_D2_V2_RESULT_INTEGRITY_COMPLETION_V1.json,"task-specific harness versus reusable integrity core"
OUTER_EVALUATION,"Preregistered held-out three-arm execution path",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_outer_d0_d1_d2v1_execution_recovery_v1.py,RecoveryAttemptBoundaryV1,BLOCKED,no,partial,TASK-039E3_R2R_UTILITY_OUTER_D0_D1_D2V1_EXECUTION_RECOVERY_V1_BLOCKER.json,"portable custody before any future authorization"
REPRODUCIBILITY,"Preserves source environment identities and bootstrap boundaries",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,docs/post_push_checkpoint_v1/07_REPRODUCIBILITY_ASSESSMENT.md,,PARTIAL,no,partial,"preservation and path-disposition manifests","fresh-machine private bootstrap rehearsal"
PROFESSOR_REPORTING,"Synthesizes frozen results without new science",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,docs/professor_submission_v1/03_FIRST_RESULTS_REPORT.md,,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,"professor submission package","evidence-to-claim links"
THESIS_DRAFT,"Provides a provisional documentation-only thesis scaffold",ebc5a57bfdb7d8266f96f2990338effb9d0a2743,docs/thesis_draft_v1/15_FULL_THESIS_WORKING_DRAFT.md,,IMPLEMENTED_NOT_EXECUTED,no,partial,"docs/thesis_draft_v1/","professor decisions and bibliography"
