name,path,source_ref_or_commit,producer,consumer,public_private_classification,public_record_count,public_safe_hash,hash_kind,frozen,audited,current,superseded,comments
D1 metrics,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D1_METRICS_V1.json,9fe9192c6da4e2d1f3c7a42ecdd28006e8534449,D1 metric evaluator,Comparison and professor reports,PUBLIC_FROZEN_METRIC_SUMMARY,"Recall 0.9285714285714286; FAR 40.50255787059723",b11a785dd243f30cac8820c49b978e194d993282c728537137b6a803b16d70d1,artifact_hash,yes,yes,yes,no,"D0 misses covered 3/3; union 14/14"
D1 integrity receipt,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D1_RESULT_INTEGRITY_V1_RECEIPT.json,fd54c5cab69927e91d268f344c54f6614f28021f,D1 independent integrity audit,Result authority index,PUBLIC_INTEGRITY_AUTHORITY,,1f42fecce799f09e2dfd73b2bc041f7f7bafd60522d95c004f27aa35b7846a4f,artifact_hash,yes,yes,yes,no,"Frozen D1 result authority"
D2 V1 prediction,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_COMBINED_PREDICTION_ARTIFACT_V1.json,9078c4a1639c35d848cad28194fb4195eb5daca5,D2 same-second fusion,D2 V1 metrics,PUBLIC_FROZEN_SCIENTIFIC_ARTIFACT,54000,cf1005a03d98481b57c3ce2ad74db3e2e5d2dc3a1983d60e0aedb4f46c83b3f5,artifact_hash,yes,yes,yes,no,"Deterministic fusion; D0 preservation bound"
D2 V1 metrics,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_METRICS_V1.json,9078c4a1639c35d848cad28194fb4195eb5daca5,D2 V1 metric evaluator,Scientific comparison,PUBLIC_FROZEN_METRIC_SUMMARY,"Recall 0.7857142857142857; FAR 0.7056194750975128; recovery 0/3",dacf0c8c7e43b3f48bbbd635ad5c824a338ecf4e52476402ec244eef4012c84d,artifact_hash,yes,yes,yes,no,"Negative fusion evidence"
D2 V1 integrity receipt,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_RESULT_INTEGRITY_V1_RECEIPT.json,f7ae8f10e8e69e631c43184d6ea9cd3604829a9c,D2 V1 independent integrity audit,Scientific disposition,PUBLIC_INTEGRITY_AUTHORITY,,c45db852c6d5571ec7930fc12d815b383a29e31939e711eb5f2e84c69807b448,artifact_hash,yes,yes,yes,no,"Frozen D2 V1 result authority"
D2 V2 prediction,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_V2_COMBINED_PREDICTION_ARTIFACT_V1.json,55d41c543e110a9a6f0f5e2e2671857dba938aaa,D2 native-horizon fusion,D2 V2 metrics,PUBLIC_FROZEN_SCIENTIFIC_ARTIFACT,54000,31035da56e140141917437df5b3473b803153621c7e1022830cccde52f61c0b3,artifact_hash,yes,yes,yes,no,"Deterministic native-horizon fusion"
D2 V2 metrics,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_V2_METRICS_V1.json,55d41c543e110a9a6f0f5e2e2671857dba938aaa,D2 V2 metric evaluator,Scientific disposition,PUBLIC_FROZEN_METRIC_SUMMARY,"Recall 0.7857142857142857; FAR 6.915070855955625; recovery 0/3",8fabdccc0c9a9b502497aa58163131647303d5e27acefb995a06ca9d43850ba7,artifact_hash,yes,yes,yes,no,"Negative fusion evidence"
D2 V2 integrity completion,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_V2_RESULT_INTEGRITY_COMPLETION_V1.json,228f1e94baed531ae8d9503cb3c5ec0a3aa47f6b,D2 V2 completion renderer,Scientific disposition and reporting,PUBLIC_INTEGRITY_AUTHORITY,,b7034829527d7469459298735d253693b41f20bde6f0ab867bac71e804fa7d06,artifact_hash,yes,yes,yes,no,"Canonical D2 V2 result-integrity completion"
OUTER recovery blocker,docs/task_reports/TASK-039E3_R2R_UTILITY_OUTER_D0_D1_D2V1_EXECUTION_RECOVERY_V1_BLOCKER.json,c2670f0a49fb704799e62648805188983fb6ef83,OUTER recovery bridge,Continuity and professor reports,PUBLIC_CUSTODY_ACCOUNTING_METADATA,"feature bytes 0; labels 0; executions 0; predictions none; metrics none",5949aa9aa16df04143bed4bd58a4061306f5e1ed392fc45b39b6cb23c3951d8e,artifact_hash,yes,partial,yes,no,"No OUTER scientific result; generalization unconfirmed"
Professor first-results report,docs/professor_submission_v1/03_FIRST_RESULTS_REPORT.md,87033702d0c16abaf141c03983098f69e6a8cb16,Reporting synthesis,Professor review,PUBLIC_SYNTHESIS,,8627ae77fd3ea31366c4070596fd0488342d3c62,git_blob,yes,yes,yes,no,"Frozen result synthesis only"
Implementation completeness audit,docs/post_push_checkpoint_v1/08_IMPLEMENTATION_COMPLETENESS.md,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,Post-push repository audit,RCC and professor review,PUBLIC_REPOSITORY_AUDIT,,29e571213a54a12e48b01ad7a6d5000cb6259740,git_blob,yes,yes,yes,no,"INNER architecture true; empirical validation partial"
Reproducibility assessment,docs/post_push_checkpoint_v1/07_REPRODUCIBILITY_ASSESSMENT.md,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,Post-push repository audit,RCC and release planning,PUBLIC_REPOSITORY_AUDIT,,eea0b160989ba7a3edc9ef091e5e226b96b6248a,git_blob,yes,yes,yes,no,"Traceability strong; same-machine moderate; fresh-machine weak"
Claim audit,docs/post_push_checkpoint_v1/09_CLAIM_AUDIT.md,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,Post-push repository audit,Professor and thesis claims,PUBLIC_REPOSITORY_AUDIT,,0b93c21147c77b611a4270316bf36fd3f933e774,git_blob,yes,yes,yes,no,"No D2-improvement or OUTER-generalization claim"
Thesis working draft,docs/thesis_draft_v1/15_FULL_THESIS_WORKING_DRAFT.md,ebc5a57bfdb7d8266f96f2990338effb9d0a2743,Documentation synthesis,Thesis writing,PUBLIC_PROVISIONAL_SYNTHESIS,,5c9d4d0612d26695a2eb160704fdf68abaff6f4d,git_blob,yes,partial,yes,no,"Thesis branch only; professor decisions remain open"
Raw HAI and test payloads,<LOCAL_DATA_CUSTODY>,LOCAL_ONLY,Approved data acquisition,Scientific execution when explicitly authorized,PRIVATE_OUTSIDE_GIT,,NOT_OPENED,not_applicable,yes,partial,unknown,no,"RCC-000 did not inspect feature bytes or labels"
Private numeric/model/evidence payloads,<PRIVATE_ARTIFACT_CUSTODY>,LOCAL_ONLY,Normal authority and scientific execution,Verifier/runtime/audits under explicit authority,PRIVATE_OUTSIDE_GIT,,PUBLIC_HASH_BINDINGS_ONLY,not_applicable,yes,partial,unknown,no,"Includes numeric registry PCA model threshold D1 evidence FusionEvidenceV2 and MetricEvidenceV2"
