pair_id,source,target,meta_selected,stat_selected,gdn_selected,arm_count,downstream_profiled,safe_artifact_reference
PAIR-013,P1_FCV01D,P1_PIT02,true,true,false,2,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-014,P1_FCV01Z,P1_FT02,true,true,false,2,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-015,P1_FCV01Z,P1_FT02Z,true,true,false,2,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-016,P1_FCV01Z,P1_PIT02,true,true,false,2,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-017,P1_FCV03Z,P1_FT03,true,true,false,2,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-018,P1_FCV03Z,P1_FT03Z,true,true,false,2,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-019,P1_PCV01D,P1_FT01,true,false,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-020,P1_PCV01D,P1_FT01Z,true,false,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-021,P1_FCV02Z,P1_PIT02,false,true,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-022,P1_LCV01Z,P1_PIT01,false,true,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-023,P1_FCV02Z,P1_FT02Z,false,true,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-024,P1_FCV02D,P1_PIT02,false,true,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-025,P1_PCV01Z,P1_PIT01,false,true,true,2,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-026,P1_LCV01Z,P1_FT01Z,false,true,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-027,P1_PCV01D,P1_LIT01,false,true,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-028,P1_LCV01D,P1_PIT01,false,true,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-029,P1_FCV02Z,P1_FT02,false,true,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-030,P1_PCV01Z,P1_TIT03,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-031,P1_PCV01D,P1_TIT03,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-032,P1_PCV02Z,P1_PIT01,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-033,P1_FCV03Z,P1_FT01,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-034,P1_FCV03D,P1_FT01,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-035,P1_FCV02D,P1_TIT02,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-036,P1_FCV01D,P1_TIT02,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-037,P1_FCV02D,P1_FT03,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-038,P1_FCV02D,P1_LIT01,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-039,P1_FCV01Z,P1_TIT03,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-040,P1_PCV02Z,P1_PIT02,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-041,P1_LCV01D,P1_TIT03,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-042,P1_FCV02Z,P1_TIT02,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-043,P1_FCV02Z,P1_TIT01,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-044,P1_LCV01D,P1_PIT02,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-045,P1_FCV03Z,P1_TIT03,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-046,P1_PP04,P1_FT01,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-047,P1_FCV01Z,P1_FT01,false,false,true,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
