path,symbol,component,role,parameters,returns,caller,callee,input_split,side_effects,determinism,test_paths,frozen_execution_evidence
src/paperworks/candidates/statistical_candidate_discovery_v1.py,load_frozen_c0_bundle_v1,STAT_DISCOVERY,"load and validate universe and policy",paths,"frozen bindings",discover_statistical_candidates_v1,"protocol decoders",train1/train2,reads frozen public metadata,deterministic,tests/test_task039c_stat.py,yes
src/paperworks/candidates/statistical_candidate_discovery_v1.py,load_verified_file_identities_v1,STAT_DISCOVERY,"bind train1/train2 identities",manifest,"file identities",discover_statistical_candidates_v1,"manifest checks",train1/train2,reads manifest metadata,deterministic,tests/test_task039c_stat.py,yes
src/paperworks/candidates/statistical_candidate_discovery_v1.py,authorize_stat_value_request_v1,STAT_DISCOVERY,"fail closed on file and column scope","request;authority","authorization receipt",read_authorized_stat_file_v1,"boundary checks",train1/train2,none,deterministic,tests/test_task039c_stat.py,yes
src/paperworks/candidates/statistical_candidate_discovery_v1.py,read_authorized_stat_file_v1,STAT_DISCOVERY,"single-pass exact-hash numeric read","path;authorization","float64 segment",discover_statistical_candidates_v1,"CSV parser and finite checks",train1/train2,"historical authorized scientific read",deterministic,tests/test_task039c_stat.py,yes
src/paperworks/candidates/statistical_candidate_discovery_v1.py,file_local_differences_v1,STAT_DISCOVERY,"first differences without crossing files",segment,"differenced segment",vectorized_file_lagged_correlations_v1,array subtraction,train1/train2,none,deterministic,tests/test_task039c_stat.py,yes
src/paperworks/candidates/statistical_candidate_discovery_v1.py,pearson_correlation_reference_v1,STAT_DISCOVERY,"scalar Pearson oracle","x;y",float,verify_vectorized_parity_v1,"finite pair arithmetic",SYNTHETIC,none,deterministic,tests/test_task039c_stat.py,yes
src/paperworks/candidates/statistical_candidate_discovery_v1.py,_pairwise_pearson_matrix_v1,STAT_DISCOVERY,"vectorized source-target Pearson matrix","source;target","matrix",vectorized_file_lagged_correlations_v1,"matrix algebra and fallback",train1/train2,none,deterministic,tests/test_task039c_stat.py,yes
src/paperworks/candidates/statistical_candidate_discovery_v1.py,vectorized_file_lagged_correlations_v1,STAT_DISCOVERY,"evaluate all pairs and frozen horizons in one file","segment;horizons","correlation matrices",discover_statistical_candidates_v1,"differences and Pearson matrix",train1/train2,none,deterministic,tests/test_task039c_stat.py,yes
src/paperworks/candidates/statistical_candidate_discovery_v1.py,verify_vectorized_parity_v1,STAT_DISCOVERY,"synthetic pre-read numerical parity gate","fixtures",none,"STAT orchestration","scalar and vectorized oracles",SYNTHETIC,none,deterministic,tests/test_task039c_stat.py,yes
src/paperworks/candidates/statistical_candidate_discovery_v1.py,select_pair_horizon_v1,STAT_DISCOVERY,"require same nonzero sign and choose strongest horizon","per-file correlations","pair evidence",discover_statistical_candidates_v1,"stability and tie rules",train1/train2,none,deterministic,tests/test_task039c_stat.py,yes
src/paperworks/candidates/statistical_candidate_discovery_v1.py,discover_statistical_candidates_v1,STAT_DISCOVERY,"evaluate complete frozen universe","bindings;segments","144 pair evidence records","run_task039c_stat.main","correlation and horizon helpers",train1/train2,none,deterministic,tests/test_task039c_stat.py,yes
src/paperworks/v6/candidate_discovery_protocol_v1.py,rank_statistical_candidates_v1,STAT_DISCOVERY,"rank stable pairs by score; horizon; identities",entries,"ranked tuple",rank_pair_evidence_v1,sorted,train1/train2,none,deterministic,tests/test_task039c_stat.py,yes
src/paperworks/candidates/statistical_candidate_discovery_v1.py,build_public_result_v1,STAT_DISCOVERY,"build sanitized self-hashed result","records;bindings",mapping,"run_task039c_stat.main","ranker;budgets;hash",train1/train2,none,deterministic,tests/test_task039c_stat.py,yes
scripts/run_task039c_stat.py,main,STAT_DISCOVERY,"historical frozen STAT orchestration",none,"process exit","command line","STAT authority and result functions",train1/train2,"historical authorized artifact writes",deterministic,tests/test_task039c_stat.py,yes
src/paperworks/gdn/upstream_candidate_backend_v1.py,authorize_gdn_data_request_v1,GDN_DISCOVERY,"fail-closed normal-only access gate","request;grant","authorization receipt",load_authorized_numeric_segments_v1,"scope checks",train1/train2,none,deterministic,tests/test_task039c_gdn_candidates.py,yes
src/paperworks/gdn/upstream_candidate_backend_v1.py,load_authorized_numeric_segments_v1,GDN_DISCOVERY,"load approved ordered finite columns as separate segments","paths;authorization","numeric segments",train_upstream_aligned_seed_v1,"CSV and finite checks",train1/train2,"historical authorized scientific read",deterministic,tests/test_task039c_gdn_candidates.py,yes
src/paperworks/gdn/upstream_candidate_backend_v1.py,UpstreamGDNTrainingConfigV1,GDN_DISCOVERY,"freeze seeds; model; optimizer; validation; device","config fields","validated config","GDN orchestration","dataclass validation",train1/train2,none,"seeded but model training depends on frozen runtime",tests/test_task039c_gdn_candidates.py,yes
src/paperworks/gdn/upstream_candidate_backend_v1.py,_load_runtime_types_v1.GraphLayer,GDN_DISCOVERY,"attention-weighted message passing","node states;edge index","updated node states",UpstreamAlignedGDN.forward,"attention coefficients and aggregation",train1/train2,none,"seeded runtime",tests/test_task039c_gdn_candidates.py,yes
src/paperworks/gdn/upstream_candidate_backend_v1.py,_load_runtime_types_v1.UpstreamAlignedGDN.forward,GDN_DISCOVERY,"construct embedding-cosine graph and forecast next values","history window","forecast;internal graph state",train_upstream_aligned_seed_v1,"cosine Top-5; GraphLayer",train1/train2,none,"seeded runtime",tests/test_task039c_gdn_candidates.py,yes
src/paperworks/gdn/upstream_candidate_backend_v1.py,_segment_windows_v1,GDN_DISCOVERY,"make five-step histories and one-step targets per file","segments;window","windows and targets",train_upstream_aligned_seed_v1,"array slicing",train1/train2,none,deterministic,tests/test_task039c_gdn_candidates.py,yes
src/paperworks/gdn/upstream_candidate_backend_v1.py,train_upstream_aligned_seed_v1,GDN_DISCOVERY,"train one seed and extract best-state learned graph","segments;config;seed","seed record","run_task039c_gdnp.worker","model;MSE;checkpoint extraction",train1/train2,"historical model fit and private seed record",seeded,tests/test_task039c_gdn_candidates.py,yes
src/paperworks/candidates/gdn_candidate_discovery_v1.py,project_seed_record_to_universe_v1,GDN_DISCOVERY,"project full-context graph to exact 144 pairs","seed record;universe","projected edges",aggregate_and_rank_gdn_candidates_v1,"membership checks",train1/train2,none,deterministic,tests/test_task039c_gdn_candidates.py,yes
src/paperworks/candidates/gdn_candidate_discovery_v1.py,aggregate_and_rank_gdn_candidates_v1,GDN_DISCOVERY,"aggregate three seeds into deterministic evidence ranking","seed records;universe","ranked evidence",build GDN result,"projection;rank_gdn_candidates_v1",train1/train2,none,deterministic,tests/test_task039c_gdn_candidates.py,yes
src/paperworks/v6/candidate_discovery_protocol_v1.py,rank_gdn_candidates_v1,GDN_DISCOVERY,"rank frequency; median cosine; identities",entries,"ranked tuple",aggregate_and_rank_gdn_candidates_v1,sorted,train1/train2,none,deterministic,tests/test_task039c_gdn_candidates.py,yes
scripts/run_task039c_gdnp.py,worker,GDN_DISCOVERY,"historical one-shot GDN orchestration","frozen authorities","sanitized summary",main,"training;aggregation;custody",train1/train2,"historical authorized fit and artifact writes",seeded,tests/test_task039c_gdn_candidates.py,yes
src/paperworks/v6/candidate_discovery_protocol_v1.py,integrate_candidate_union_v1,CANDIDATE_UNION,"set union with per-arm provenance and no global score","universe;three top-20 views","tuple of IntegratedCandidateV1","TASK-039C integration","universe and duplicate validation",NOT_APPLICABLE,none,deterministic,tests/test_task039c_integration_reports.py,yes
src/paperworks/candidates/candidate_integration_v1.py,build_task039c_integration_v1,CANDIDATE_UNION,"bind arm artifacts and freeze the 47-pair cohort","arm results;protocol bundle","integration reports and cohort","integration script",integrate_candidate_union_v1,NOT_APPLICABLE,"historical public artifact writes",deterministic,tests/test_task039c_integration_reports.py,yes
